id,area,expected_behavior,status,issue_ids,check_ids,test_count,test_ids,source_refs,verification_note
FIND-COMPLETENESS,find,"Missing requested roots, incomplete metadata and sources changed during search set complete=false and exit 2; unstable results are withheld.",passed,,,5,tests/test_find.py::test_partial_coverage_is_not_reported_as_complete; tests/test_find_integrity.py::test_changes_during_search_are_explicit_and_not_returned; tests/test_find_integrity.py::test_explicit_missing_archive_root_is_reported; tests/test_find_integrity.py::test_incomplete_codex_header_does_not_claim_complete_coverage; tests/test_find_paths.py::test_paths_report_missing_roots_and_concurrent_changes,README.md; src/sxr/find_service.py,
FIND-INDEX,find,--index prepares the ranked index; find requires caching and errors with recovery instructions on unavailable or corrupt cache data.,passed,,,7,tests/test_find.py::test_cache_clear_removes_catalogue_and_passages; tests/test_find_integrity.py::test_corrupt_cached_text_names_recovery; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments0]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments1]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments2]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments3]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments4],README.md; src/sxr/find_service.py,
FIND-WARM,find,Warm inventory does not parse unchanged transcripts; only displayed results load excerpt bodies and cached tool outcomes remain canonical.,passed,,,3,tests/test_find.py::test_cache_rebuild_preserves_late_tool_outcomes; tests/test_find.py::test_only_displayed_results_load_passage_bodies; tests/test_find.py::test_warm_inventory_and_retrieval_do_not_parse_transcripts,README.md; src/sxr/find_service.py,
INDEX-PREPARE,index,"index builds search data within the selected provider/project scope; --clear removes search, ranked, catalog and read caches.",passed,,INDEX-clear,8,tests/test_find.py::test_cache_clear_removes_catalogue_and_passages; tests/test_read_cache.py::test_newline_framing_and_clear[_write_claude-\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_claude-\r\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_claude-\r]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_codex-\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_codex-\r\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_codex-\r]; tests/test_search_index.py::test_index_command_builds_and_clears_corrupt_cache,README.md; src/sxr/search_index.py,
INDEX-LOCATION,index,"Caches respect SXR_CACHE_DIR and XDG_CACHE_HOME, default to ~/.cache/sxr, and are created with owner-only access.",passed,,,1,tests/test_search_index.py::test_cache_is_private_and_does_not_store_original_text,README.md; src/sxr/search_index.py,
INDEX-LITERAL,index,Literal searches of at least three characters use the index; short patterns and regex operators use direct reads with identical outputs.,passed,,GREP-cache-parity,16,tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args0]; tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args1]; tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args2]; tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args3]; tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args4]; tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args5]; tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args6]; tests/test_search_index.py::test_cold_and_warm_cli_outputs_equal_direct_reads[args7]; tests/test_search_index.py::test_trigram_candidates_are_checked_for_the_full_substring; tests/test_search_index.py::test_unsupported_patterns_fall_back_without_creating_an_index[\\bneedle\\b]; tests/test_search_index.py::test_unsupported_patterns_fall_back_without_creating_an_index[\ud800ab]; tests/test_search_index.py::test_unsupported_patterns_fall_back_without_creating_an_index[]; tests/test_search_index.py::test_unsupported_patterns_fall_back_without_creating_an_index[a\x00b]; tests/test_search_index.py::test_unsupported_patterns_fall_back_without_creating_an_index[a]; tests/test_search_index.py::test_unsupported_patterns_fall_back_without_creating_an_index[ab]; tests/test_search_index.py::test_unsupported_patterns_fall_back_without_creating_an_index[n.*dle],README.md; src/sxr/search_index.py,
INDEX-UNICODE,index,Escaped and normalized Unicode remains searchable without incorrect candidate exclusions.,passed,,,13,"tests/test_find_integrity.py::test_escaped_unicode_is_searchable_and_surrogates_are_preserved; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[Stra\xdfe-stra\xdfe]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[\u0130stanbul-istanbul]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[\u0131stanbul-istanbul]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[\u017fession-session]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[\u03a3\u03af\u03b3\u03bc\u03b1-\u03c3\u03af\u03b3\u03bc\u03b1]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[\u212aELVIN-kelvin]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[\u4f60\u597d\u4e16\u754c-\u4f60\u597d\u4e16\u754c]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[before\x00after-after]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[escaped ""quoted"" text-""quoted""]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[first\nsecond-first\nsecond]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[punctuation [abc]-[abc]]; tests/test_search_index.py::test_normalized_unicode_and_escaped_text_are_candidates[words OR literal-words OR literal]",README.md; src/sxr/search_index.py,
INDEX-INCREMENTAL,index,Verified appends decode only new records; partial final lines are revisited; edits and same-mtime replacements invalidate stale data.,passed,,,15,tests/test_index_records.py::test_append_decodes_only_suffix_and_replaces_unfinished_tail[False-claude]; tests/test_index_records.py::test_append_decodes_only_suffix_and_replaces_unfinished_tail[False-codex]; tests/test_index_records.py::test_append_decodes_only_suffix_and_replaces_unfinished_tail[True-claude]; tests/test_index_records.py::test_append_decodes_only_suffix_and_replaces_unfinished_tail[True-codex]; tests/test_index_records.py::test_changing_file_is_not_committed_as_a_stable_snapshot; tests/test_index_records.py::test_document_chunks_keep_whole_event_text; tests/test_index_records.py::test_edits_never_masquerade_as_appends[grow_rewrite]; tests/test_index_records.py::test_edits_never_masquerade_as_appends[replace]; tests/test_index_records.py::test_edits_never_masquerade_as_appends[same_size]; tests/test_index_records.py::test_edits_never_masquerade_as_appends[truncate]; tests/test_index_records.py::test_repeated_text_is_indexed_once_per_update; tests/test_index_records.py::test_torn_json_is_revisited_at_original_coordinate; tests/test_search_index.py::test_deleted_sources_are_pruned; tests/test_search_index.py::test_rewrite_replaces_old_candidates_and_append_keeps_existing_ones; tests/test_search_index.py::test_warm_index_does_not_decode_unchanged_sources,README.md; src/sxr/search_index.py,
INDEX-FALLBACK,index,"Unavailable, locked, corrupt or unsupported caches fall back to direct grep/read results; cache faults never masquerade as no matches.",passed,,,20,tests/test_read_cache.py::test_cache_failures_fall_back[_write_claude-corrupt]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_claude-disabled]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_claude-locked]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_claude-missing_row]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_claude-patch]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_claude-unavailable]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_codex-corrupt]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_codex-disabled]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_codex-locked]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_codex-missing_row]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_codex-patch]; tests/test_read_cache.py::test_cache_failures_fall_back[_write_codex-unavailable]; tests/test_search_index.py::test_bad_compressed_cache_falls_back[None]; tests/test_search_index.py::test_bad_compressed_cache_falls_back[invalid compressed text]; tests/test_search_index.py::test_cache_failures_never_turn_into_empty_search_results[corrupt]; tests/test_search_index.py::test_cache_failures_never_turn_into_empty_search_results[disabled]; tests/test_search_index.py::test_cache_failures_never_turn_into_empty_search_results[locked]; tests/test_search_index.py::test_cache_failures_never_turn_into_empty_search_results[unwritable]; tests/test_search_index.py::test_cache_failures_never_turn_into_empty_search_results[version]; tests/test_search_index.py::test_unavailable_sqlite_extension_falls_back,README.md; src/sxr/search_index.py,
INDEX-CATALOG,index,Catalog migrations preserve warm results and scope filtering precedes construction of unrelated references.,passed,,,3,tests/test_catalog.py::test_legacy_catalog_migration_preserves_warm_results; tests/test_catalog.py::test_legacy_scope_uses_full_claude_path_encoding; tests/test_catalog.py::test_project_filter_precedes_reference_construction,README.md; src/sxr/search_index.py,
READ-CACHE,index,Zooms cache positions and seek only selected physical records while retaining whole-session outcomes and event counts.,passed,,,29,tests/test_read_cache.py::test_codex_aliases_and_distant_results; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts9]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts9]; tests/test_read_cache.py::test_warm_zoom_decodes_only_selected_physical_records[_write_claude]; tests/test_read_cache.py::test_warm_zoom_decodes_only_selected_physical_records[_write_codex],README.md; src/sxr/search_index.py,
READ-INVALIDATION,index,Any source change rebuilds read positions and earlier tool outcomes; concurrent mutation falls back or prevents publication of an unstable snapshot.,passed,,,15,tests/test_read_cache.py::test_appended_claude_result_changes_earlier_call; tests/test_read_cache.py::test_mutation_during_build_does_not_publish_snapshot[_write_claude]; tests/test_read_cache.py::test_mutation_during_build_does_not_publish_snapshot[_write_codex]; tests/test_read_cache.py::test_mutation_during_seek_falls_back[_write_claude]; tests/test_read_cache.py::test_mutation_during_seek_falls_back[_write_codex]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_claude-append]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_claude-replace]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_claude-same_mtime]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_claude-torn]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_claude-truncate]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_codex-append]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_codex-replace]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_codex-same_mtime]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_codex-torn]; tests/test_read_cache.py::test_source_mutation_invalidates_old_annotations[_write_codex-truncate],README.md; src/sxr/search_index.py,
PROVIDER-FRAMING,providers,"Blank, torn, invalid UTF-8 and supported line endings preserve source event coordinates across direct and cached reads.",passed,,,9,tests/test_index_records.py::test_torn_json_is_revisited_at_original_coordinate; tests/test_read_cache.py::test_blank_torn_and_invalid_utf8_preserve_source_coordinates[_write_claude]; tests/test_read_cache.py::test_blank_torn_and_invalid_utf8_preserve_source_coordinates[_write_codex]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_claude-\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_claude-\r\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_claude-\r]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_codex-\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_codex-\r\n]; tests/test_read_cache.py::test_newline_framing_and_clear[_write_codex-\r],README.md; src/sxr/providers/codex.py,
PROVIDER-CODEX-OUTCOMES,providers,"Modern completed command items and legacy function-call outputs retain command, output, exit/status and line numbers; stable IDs deduplicate representations without merging separate executions.",passed,,,7,tests/test_codex_outcomes.py::test_commands_without_identity_are_not_collapsed; tests/test_codex_outcomes.py::test_completed_commands_counts_and_native_zoom; tests/test_codex_outcomes.py::test_completed_commands_display_command_only; tests/test_codex_outcomes.py::test_legacy_end_sets_call_outcome_without_duplicate_failures; tests/test_codex_outcomes.py::test_repeated_legacy_outcomes_and_modern_aliases; tests/test_codex_outcomes.py::test_unknown_outcomes_and_started_item_transition; tests/test_search_index.py::test_appended_codex_outcome_preserves_canonical_search_results,README.md; src/sxr/providers/codex.py,
SECRETS-SCAN,secrets,"Audit scans selected session credentials, including values in recorded tool inputs such as Write.content, and returns a masked rotation worklist.",failed,SXR-AUD-001,SECRETS-write-input,3,tests/test_secrets.py::test_secrets_view_clean_scope_exits_1; tests/test_secrets.py::test_secrets_view_json_is_masked_too; tests/test_secrets.py::test_secrets_view_masks_values_and_aggregates,README.md; src/sxr/views_secrets.py,
SECRETS-DETECTORS,secrets,"Bundled text rules, provider prefixes, URL credentials, JWT validation, password assignments and private-key recognition distinguish certain/probable findings from placeholders.",passed,,,40,"tests/test_secret_rules.py::test_all_bundled_text_rules_compile; tests/test_secret_rules.py::test_case_sensitive_prefix_and_scoped_disable_are_preserved; tests/test_secret_rules.py::test_curl_header_alternative_capture_groups[Authorization: Basic-""]; tests/test_secret_rules.py::test_curl_header_alternative_capture_groups[Authorization: Basic-']; tests/test_secret_rules.py::test_curl_header_alternative_capture_groups[Authorization: Bearer-""]; tests/test_secret_rules.py::test_curl_header_alternative_capture_groups[Authorization: Bearer-']; tests/test_secret_rules.py::test_curl_header_alternative_capture_groups[X-API-Key:-""]; tests/test_secret_rules.py::test_curl_header_alternative_capture_groups[X-API-Key:-']; tests/test_secret_rules.py::test_go_word_boundaries_beside_unicode_text[AKIAQ2R7T5W3P6M4J6KX\xe9]; tests/test_secret_rules.py::test_go_word_boundaries_beside_unicode_text[\u4e2d\u6587AKIAQ2R7T5W3P6M4J6KX]; tests/test_secret_rules.py::test_go_word_boundaries_beside_unicode_text[\xe9AKIAQ2R7T5W3P6M4J6KX]; tests/test_secret_rules.py::test_inline_flags_preserve_alternatives_and_enclosing_scope; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[adobe-client-secret-<synthetic-adobe-client-secret>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[alibaba-access-key-id-<synthetic-alibaba-access-key-id>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[authress-service-client-access-key-<synthetic-authress-service-client-access-key>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[doppler-api-token-<synthetic-doppler-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[duffel-api-token-<synthetic-duffel-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[dynatrace-api-token-<synthetic-dynatrace-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[easypost-api-token-<synthetic-easypost-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[easypost-test-api-token-<synthetic-easypost-test-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[facebook-page-access-token-<synthetic-facebook-page-access-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[flutterwave-encryption-key-<synthetic-flutterwave-encryption-key>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[flutterwave-public-key-<synthetic-flutterwave-public-key>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[flutterwave-secret-key-<synthetic-flutterwave-secret-key>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[frameio-api-token-<synthetic-frameio-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[gocardless-api-token-<synthetic-gocardless-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[intra42-client-secret-<synthetic-intra42-client-secret>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[linear-api-key-<synthetic-linear-api-key>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[planetscale-api-token-<synthetic-planetscale-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[planetscale-password-<synthetic-planetscale-password>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[postman-api-token-<synthetic-postman-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[sendgrid-api-token-<synthetic-sendgrid-api-token>]; tests/test_secret_rules.py::test_restored_rules_detect_synthetic_credentials[sendinblue-api-token-<synthetic-sendinblue-api-token>]; tests/test_secret_rules.py::test_shared_keyword_prefixes_preserve_existing_matches_and_positions; tests/test_secrets.py::test_anthropic_key_span_is_exact; tests/test_secrets.py::test_aws_doc_example_is_allowlisted; tests/test_secrets.py::test_jwt_requires_decodable_header; tests/test_secrets.py::test_password_assignment_skips_placeholders_and_markers; tests/test_secrets.py::test_provider_keys_are_certain; tests/test_secrets.py::test_url_credential_and_placeholder",README.md; src/sxr/views_secrets.py,
SECRETS-CANDIDATES,secrets,--candidates opts into entropy review findings; candidates and hexadecimal noise are excluded by default and overlap keeps the strongest finding.,passed,,,3,tests/test_secrets.py::test_candidates_are_opt_in_and_exclude_hex; tests/test_secrets.py::test_overlaps_keep_best_severity; tests/test_secrets.py::test_shannon_bounds,README.md; src/sxr/views_secrets.py,
SECRETS-MASKING,secrets,Neither text nor JSON exposes credential values; fingerprints are stable and salted and worklists aggregate occurrences and session spread.,passed,,SECRETS-dry-apply,5,tests/test_secrets.py::test_fingerprint_is_stable_and_salted; tests/test_secrets.py::test_marker_format; tests/test_secrets.py::test_secrets_view_clean_scope_exits_1; tests/test_secrets.py::test_secrets_view_json_is_masked_too; tests/test_secrets.py::test_secrets_view_masks_values_and_aggregates,README.md; src/sxr/views_secrets.py,
SECRETS-LIMIT,secrets,-n limits the worklist and reports omitted findings without misrepresenting the full distinct-secret count.,failed,SXR-AUD-014,LIMIT-secrets-notice,0,,README.md; src/sxr/views_secrets.py,
SECRETS-ROUTING,secrets,"secrets audits by default, accepts a session selector or audit subcommand, and exposes clean as a nested command.",passed,,,9,tests/test_secrets_cli.py::test_conflicting_provider_flags_remain_errors[_write_claude]; tests/test_secrets_cli.py::test_conflicting_provider_flags_remain_errors[_write_codex]; tests/test_secrets_cli.py::test_existing_audit_forms_still_work[_write_claude-selector0]; tests/test_secrets_cli.py::test_existing_audit_forms_still_work[_write_claude-selector1]; tests/test_secrets_cli.py::test_existing_audit_forms_still_work[_write_claude-selector2]; tests/test_secrets_cli.py::test_existing_audit_forms_still_work[_write_codex-selector0]; tests/test_secrets_cli.py::test_existing_audit_forms_still_work[_write_codex-selector1]; tests/test_secrets_cli.py::test_existing_audit_forms_still_work[_write_codex-selector2]; tests/test_secrets_cli.py::test_help_places_clean_under_secrets,README.md; src/sxr/views_secrets.py,
CLEAN-PREVIEW,clean,secrets clean is a dry run unless --apply is supplied; preview scans the same selected files without rewriting them.,passed,,SECRETS-dry-apply,7,tests/test_clean.py::test_dry_run_reports_but_writes_nothing; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_claude-command]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_claude-group]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_claude-root]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_codex-command]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_codex-group]; tests/test_secrets_cli.py::test_clean_flag_positions_and_apply[_write_codex-root],README.md; src/sxr/secrets/clean.py,
CLEAN-APPLY,clean,"Apply rewrites only certain/probable credentials with redaction markers, leaves no backup, and is idempotent; an already-clean scope exits 1.",passed,,SECRETS-dry-apply,3,tests/test_clean.py::test_apply_is_idempotent; tests/test_clean.py::test_apply_rewrites_only_the_dirty_line; tests/test_clean.py::test_clean_scope_exits_1,README.md; src/sxr/secrets/clean.py,
